,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,biloela,AU,-24.4167,150.5,44.92,79,0,5.32,clear sky
1,xinyu,CN,27.8043,114.9334,82.42,73,100,2.84,overcast clouds
2,saldanha,ZA,-33.0117,17.9442,55.45,87,5,9.53,clear sky
3,arraial do cabo,BR,-22.9661,-42.0278,80.56,78,0,17.27,clear sky
4,martyush,RU,56.4,61.8819,74.14,72,22,6.91,few clouds
5,walvis bay,NA,-22.9575,14.5053,57.09,61,1,11.59,clear sky
6,rikitea,PF,-23.1203,-134.9692,65.84,86,100,4.88,moderate rain
7,karasuk,RU,53.7377,78.0403,64.76,70,84,6.76,light rain
8,avarua,CK,-21.2078,-159.775,73.45,64,75,9.22,broken clouds
9,puerto escondido,MX,15.85,-97.0667,86.83,70,100,0.0,overcast clouds
10,atuona,PF,-9.8,-139.0333,77.74,67,26,16.69,scattered clouds
11,albany,US,42.6001,-73.9662,82.17,57,9,1.99,clear sky
12,east london,ZA,-33.0153,27.9116,59.94,67,0,10.36,clear sky
13,tiksi,RU,71.6872,128.8694,41.67,88,90,3.04,overcast clouds
14,hermanus,ZA,-34.4187,19.2345,53.8,81,34,1.52,scattered clouds
15,cabedelo,BR,-6.9811,-34.8339,83.07,72,37,17.38,scattered clouds
16,khatanga,RU,71.9667,102.5,42.67,90,100,3.58,overcast clouds
17,busselton,AU,-33.65,115.3333,58.62,79,79,19.69,broken clouds
18,new norfolk,AU,-42.7826,147.0587,44.71,90,52,2.19,broken clouds
19,kapaa,US,22.0752,-159.319,79.12,85,75,18.41,broken clouds
20,lebu,CL,-37.6167,-73.65,44.76,83,99,11.88,light rain
21,pisco,PE,-13.7,-76.2167,64.45,72,0,9.22,clear sky
22,hilo,US,19.7297,-155.09,79.61,91,40,3.44,scattered clouds
23,bengkulu,ID,-3.8004,102.2655,76.82,92,100,4.27,overcast clouds
24,ushuaia,AR,-54.8,-68.3,33.42,74,20,4.61,few clouds
25,beringovskiy,RU,63.05,179.3167,46.83,98,100,6.96,moderate rain
26,provideniya,RU,64.3833,-173.3,51.91,60,100,6.04,overcast clouds
27,bredasdorp,ZA,-34.5322,20.0403,52.05,84,58,3.53,broken clouds
28,kahului,US,20.8947,-156.47,79.84,71,20,17.0,few clouds
29,saint-philippe,RE,-21.3585,55.7679,69.39,81,68,12.21,light rain
30,castro,BR,-24.7911,-50.0119,70.79,56,92,13.11,overcast clouds
31,tanout,NE,14.9709,8.8879,98.58,17,25,5.35,scattered clouds
32,saint george,US,37.1041,-113.5841,97.39,23,0,4.61,clear sky
33,carnarvon,AU,-24.8667,113.6333,67.69,81,5,11.03,clear sky
34,mar del plata,AR,-38.0023,-57.5575,57.09,90,100,13.8,overcast clouds
35,the hammocks,US,25.6715,-80.4445,93.02,66,75,10.36,broken clouds
36,itarema,BR,-2.9248,-39.9167,85.12,60,8,16.44,clear sky
37,boone,US,39.0334,-92.3335,93.79,33,0,5.26,clear sky
38,georgetown,MY,5.4112,100.3354,81.95,91,20,1.14,few clouds
39,qaanaaq,GL,77.484,-69.3632,44.53,83,98,5.84,overcast clouds
40,taoudenni,ML,22.6783,-3.9836,115.34,6,36,13.42,scattered clouds
41,dalvik,IS,65.9702,-18.5286,53.53,83,100,4.56,overcast clouds
42,dalhousie,IN,32.5333,75.9833,61.84,87,100,5.08,moderate rain
43,kavieng,PG,-2.5744,150.7967,80.44,82,100,18.01,light rain
44,jamestown,US,42.097,-79.2353,75.06,54,40,9.22,scattered clouds
45,yellowknife,CA,62.456,-114.3525,63.12,72,75,6.91,broken clouds
46,longyearbyen,SJ,78.2186,15.6401,60.64,59,0,11.5,clear sky
47,yaan,NG,7.3833,8.5667,74.71,91,48,5.26,light rain
48,thompson,CA,55.7435,-97.8558,66.36,100,100,3.44,overcast clouds
49,aripuana,BR,-9.1667,-60.6333,96.57,25,5,3.11,clear sky
50,shar,KZ,49.5886,81.0453,63.7,47,33,5.01,scattered clouds
51,cefalu,IT,38.0386,14.0229,83.53,56,0,4.0,clear sky
52,cape town,ZA,-33.9258,18.4232,58.12,84,20,4.61,few clouds
53,bulgan,MN,48.8125,103.5347,52.5,94,4,5.41,clear sky
54,dolinsk,RU,47.35,142.8,56.52,97,100,6.06,overcast clouds
55,kodiak,US,57.79,-152.4072,56.71,82,100,3.44,overcast clouds
56,zolotonosha,UA,49.6689,32.0377,71.76,55,43,5.66,scattered clouds
57,dikson,RU,73.5069,80.5464,41.29,78,11,11.7,few clouds
58,phalaborwa,ZA,-23.943,31.1411,67.28,24,0,9.64,clear sky
59,fairbanks,US,64.8378,-147.7164,57.16,51,0,6.91,smoke
60,lorengau,PG,-2.0226,147.2712,81.07,76,100,3.91,overcast clouds
61,san juan de colon,VE,8.0313,-72.2605,83.79,44,56,5.82,broken clouds
62,hurghada,EG,27.2574,33.8129,89.64,35,0,18.41,clear sky
63,pangnirtung,CA,66.1451,-65.7125,48.2,87,20,16.11,few clouds
64,alofi,NU,-19.0595,-169.9187,75.09,78,82,10.36,broken clouds
65,ancud,CL,-41.8697,-73.8203,43.23,74,79,7.09,broken clouds
66,saskylakh,RU,71.9167,114.0833,41.5,93,100,7.25,overcast clouds
67,el cope,PA,8.6167,-80.6,78.17,71,86,3.49,overcast clouds
68,upernavik,GL,72.7868,-56.1549,39.96,87,28,13.49,scattered clouds
69,vaini,TO,-21.2,-175.2,75.36,94,3,9.22,clear sky
70,labuhan,ID,-6.8844,112.2051,77.63,89,97,8.03,overcast clouds
71,barrow,US,71.2906,-156.7887,33.82,80,100,9.22,mist
72,gashua,NG,12.871,11.0482,90.86,39,62,13.22,broken clouds
73,punta arenas,CL,-53.15,-70.9167,33.91,93,75,5.75,fog
74,tuktoyaktuk,CA,69.4541,-133.0374,39.2,87,75,20.71,broken clouds
75,nara,JP,34.6851,135.8049,76.5,85,93,1.57,overcast clouds
76,baykit,RU,61.67,96.37,49.23,93,51,1.81,light rain
77,loikaw,MM,19.6742,97.2094,68.97,97,100,2.35,overcast clouds
78,norman wells,CA,65.282,-126.8329,48.24,87,100,10.36,light intensity drizzle
79,butaritari,KI,3.0707,172.7902,81.48,81,79,17.45,light rain
80,mataura,NZ,-46.1927,168.8643,36.48,99,98,2.59,overcast clouds
81,chabahar,IR,25.2919,60.643,86.5,77,78,4.05,broken clouds
82,barillas,GT,15.8036,-91.3158,67.68,84,100,2.48,overcast clouds
83,codrington,AU,-38.2667,141.9667,43.32,97,26,8.5,scattered clouds
84,rubtsovsk,RU,51.5,81.25,55.99,54,82,7.27,broken clouds
85,bluff,NZ,-46.6,168.3333,36.81,86,100,11.68,overcast clouds
86,sao joao da barra,BR,-21.6403,-41.0511,78.89,73,2,10.94,clear sky
87,pangai,TO,-19.8,-174.35,77.11,83,20,11.5,few clouds
88,port elizabeth,ZA,-33.918,25.5701,57.49,75,0,10.36,clear sky
89,nikolskoye,RU,59.7035,30.7861,62.49,95,83,4.52,broken clouds
90,constitucion,CL,-35.3333,-72.4167,45.95,87,97,11.32,moderate rain
91,gazojak,TM,41.1875,61.4036,90.82,10,0,13.09,clear sky
92,heihe,CN,50.2441,127.4902,66.78,94,17,2.73,few clouds
93,avigliana,IT,45.0771,7.3986,92.44,39,0,8.05,clear sky
94,zhaodong,CN,46.0833,125.9833,65.88,95,90,9.95,overcast clouds
95,port shepstone,ZA,-30.7414,30.455,64.89,62,3,10.54,clear sky
96,hualmay,PE,-11.0964,-77.6139,65.59,69,32,13.22,scattered clouds
97,bethel,US,41.3712,-73.414,86.9,61,20,1.99,few clouds
98,tasiilaq,GL,65.6145,-37.6368,51.96,70,61,6.33,broken clouds
99,trinidad,BO,-14.8333,-64.9,87.78,55,75,11.5,broken clouds
100,klaksvik,FO,62.2266,-6.589,52.72,74,62,14.27,broken clouds
101,ketchikan,US,55.3422,-131.6461,55.87,88,100,9.22,moderate rain
102,gushikawa,JP,26.3544,127.8686,84.2,91,0,9.22,clear sky
