City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Padang,-0.9492,100.3543,78.85,88,100,3.8,ID,2022-07-11 14:55:22
1,Khatanga,71.9667,102.5,47.91,61,95,12.24,RU,2022-07-11 14:55:22
2,Puerto Ayora,-0.7393,-90.3518,69.76,95,99,8.01,EC,2022-07-11 14:53:33
3,Dubovyy Umet,52.9763,50.2857,81.79,58,3,5.75,RU,2022-07-11 14:55:23
4,Vaini,-21.2,-175.2,73.56,88,40,8.05,TO,2022-07-11 14:55:23
5,Thompson,55.7435,-97.8558,60.96,94,100,8.05,CA,2022-07-11 14:55:23
6,Busselton,-33.65,115.3333,56.7,79,99,6.76,AU,2022-07-11 14:55:24
7,Maksatikha,57.797,35.8825,82.38,50,95,13.51,RU,2022-07-11 14:55:24
8,Ushuaia,-54.8,-68.3,29.82,64,20,4.61,AR,2022-07-11 14:54:39
9,Pangnirtung,66.1451,-65.7125,50.0,76,75,10.36,CA,2022-07-11 14:55:25
10,Punta Arenas,-53.15,-70.9167,24.91,80,0,14.97,CL,2022-07-11 14:50:36
11,Rikitea,-23.1203,-134.9692,74.48,76,1,11.68,PF,2022-07-11 14:55:25
12,Pizarro,4.9533,-77.366,75.24,93,100,4.81,CO,2022-07-11 14:55:26
13,Kodiak,57.79,-152.4072,55.81,80,95,7.31,US,2022-07-11 14:55:26
14,San Policarpo,12.1791,125.5072,79.29,84,61,4.29,PH,2022-07-11 14:55:27
15,Cape Town,-33.9258,18.4232,61.11,71,75,15.99,ZA,2022-07-11 14:55:27
16,Saint-Philippe,-21.3585,55.7679,71.19,82,44,17.25,RE,2022-07-11 14:55:27
17,Nikolskoye,59.7035,30.7861,63.88,82,100,5.86,RU,2022-07-11 14:55:28
18,Shitanjing,39.2342,106.3439,73.24,64,100,10.11,CN,2022-07-11 14:55:28
19,Elliot Lake,46.3834,-82.6331,64.47,72,82,9.48,CA,2022-07-11 14:55:29
20,Half Moon Bay,37.4636,-122.4286,72.1,84,100,10.36,US,2022-07-11 14:55:29
21,Atuona,-9.8,-139.0333,77.41,74,50,16.73,PF,2022-07-11 14:55:20
22,Udachnyy,66.4167,112.4,53.46,93,99,4.16,RU,2022-07-11 14:55:29
23,Bluff,-46.6,168.3333,37.8,82,54,16.17,NZ,2022-07-11 14:55:30
24,Mataura,-46.1927,168.8643,37.47,89,84,6.98,NZ,2022-07-11 14:55:30
25,Victoria,22.2855,114.1577,88.32,78,14,5.99,HK,2022-07-11 14:50:44
26,Morondava,-20.2833,44.2833,74.34,66,0,10.94,MG,2022-07-11 14:51:06
27,East London,-33.0153,27.9116,63.54,67,0,9.22,ZA,2022-07-11 14:55:31
28,Mitsamiouli,-11.3847,43.2844,82.69,54,20,5.75,KM,2022-07-11 14:55:31
29,Omsukchan,62.5333,155.8,61.32,75,42,8.86,RU,2022-07-11 14:55:32
30,Mugur-Aksy,50.35,90.5,54.25,62,9,3.78,RU,2022-07-11 14:55:32
31,Kapaa,22.0752,-159.319,75.11,85,100,1.99,US,2022-07-11 14:55:32
32,Udala,43.0778,-2.5125,97.05,49,0,8.3,ES,2022-07-11 14:55:33
33,Zalesovo,53.9939,84.7431,66.52,56,0,12.1,RU,2022-07-11 14:55:33
34,Kizilskoye,52.7255,58.8937,73.2,68,89,5.39,RU,2022-07-11 14:55:33
35,Sola,-13.8833,167.55,79.92,73,2,8.84,VU,2022-07-11 14:55:34
36,Sao Filipe,14.8961,-24.4956,75.16,82,17,10.74,CV,2022-07-11 14:55:34
37,Airai,-8.9266,125.4092,55.74,94,75,2.46,TL,2022-07-11 14:55:34
38,Iqaluit,63.7506,-68.5145,49.73,66,20,4.61,CA,2022-07-11 14:55:35
39,Rustenburg,-25.6676,27.2421,66.36,21,0,4.36,ZA,2022-07-11 14:55:35
40,Cockburn Town,21.4612,-71.1419,85.96,66,40,14.97,TC,2022-07-11 14:55:08
41,Tasiilaq,65.6145,-37.6368,41.68,76,98,3.02,GL,2022-07-11 14:55:36
42,Poum,-20.2333,164.0167,72.97,70,0,15.79,NC,2022-07-11 14:55:36
43,Valdivia,-39.8142,-73.2459,41.09,91,91,3.42,CL,2022-07-11 14:55:24
44,Novyy Urengoy,66.0833,76.6333,58.53,44,78,11.77,RU,2022-07-11 14:55:37
45,Bambous Virieux,-20.3428,57.7575,71.85,78,40,13.8,MU,2022-07-11 14:55:10
46,Narsaq,60.9167,-46.05,46.35,76,59,8.12,GL,2022-07-11 14:56:37
47,Fortuna,40.5982,-124.1573,59.99,100,0,1.81,US,2022-07-11 14:56:37
48,Aleksandro-Nevskiy,53.4751,40.2095,83.16,42,100,16.91,RU,2022-07-11 14:56:38
49,San Cristobal,7.7669,-72.225,69.98,95,98,4.59,VE,2022-07-11 14:51:56
50,Faanui,-16.4833,-151.75,78.12,77,22,18.05,PF,2022-07-11 14:56:38
51,Provideniya,64.3833,-173.3,49.75,84,98,8.23,RU,2022-07-11 14:56:39
52,Kemalpasa,38.4262,27.4173,84.78,27,0,14.16,TR,2022-07-11 14:56:39
53,Murray Bridge,-35.1167,139.2667,51.12,89,100,10.49,AU,2022-07-11 14:56:40
54,Kaeo,-35.1,173.7833,65.32,98,100,24.52,NZ,2022-07-11 14:56:40
55,Grand Gaube,-20.0064,57.6608,72.0,74,8,5.01,MU,2022-07-11 14:56:40
56,Ponta Do Sol,32.6667,-17.1,75.83,74,13,1.92,PT,2022-07-11 14:56:41
57,Lima,-12.0432,-77.0282,60.91,87,100,5.75,PE,2022-07-11 14:52:40
58,Atar,20.5169,-13.0499,106.05,18,0,11.07,MR,2022-07-11 14:56:41
59,Amga,60.8953,131.9608,61.14,97,9,1.79,RU,2022-07-11 14:56:42
60,Hithadhoo,-0.6,73.0833,82.81,69,99,5.93,MV,2022-07-11 14:56:42
61,Tanakpur,29.0833,80.1167,88.23,60,46,5.44,IN,2022-07-11 14:56:43
62,Torbay,47.6666,-52.7314,72.88,50,20,18.41,CA,2022-07-11 14:56:43
63,Bernalillo,35.05,-106.6673,86.54,39,2,1.01,US,2022-07-11 14:56:43
64,Chokurdakh,70.6333,147.9167,63.27,47,100,5.93,RU,2022-07-11 14:56:44
65,Bethel,41.3712,-73.414,80.35,66,3,1.99,US,2022-07-11 14:56:44
66,Butaritari,3.0707,172.7902,81.28,81,96,15.68,KI,2022-07-11 14:56:45
67,Ust-Ishim,57.6935,71.1665,72.36,75,56,5.01,RU,2022-07-11 14:56:45
68,Beira,-19.8436,34.8389,72.1,78,0,8.88,MZ,2022-07-11 14:56:46
69,Coihaique,-45.5752,-72.0662,22.95,86,100,5.75,CL,2022-07-11 14:56:46
70,Kasungu,-13.0333,33.4833,69.76,46,39,10.09,MW,2022-07-11 14:56:46
71,Pathein,16.7833,94.7333,76.32,96,100,4.41,MM,2022-07-11 14:56:47
72,Jamestown,42.097,-79.2353,79.02,50,20,9.22,US,2022-07-11 14:53:42
73,Sitka,57.0531,-135.33,51.78,90,100,6.13,US,2022-07-11 14:56:47
74,Zabaykalsk,49.6333,117.3167,58.14,91,100,5.37,RU,2022-07-11 14:56:48
75,Esperance,-33.8667,121.9,52.48,71,24,8.01,AU,2022-07-11 14:56:48
76,Pauini,-7.7136,-66.9764,88.03,52,47,3.44,BR,2022-07-11 14:56:48
77,Yellowknife,62.456,-114.3525,64.92,82,40,8.05,CA,2022-07-11 14:56:49
78,Qaanaaq,77.484,-69.3632,42.17,89,76,0.31,GL,2022-07-11 14:56:49
79,San Patricio,28.017,-97.5169,91.87,51,9,5.26,US,2022-07-11 14:56:50
80,Ahipara,-35.1667,173.1667,63.43,96,100,23.31,NZ,2022-07-11 14:56:50
81,Kovdor,67.5662,30.4758,66.22,79,95,2.21,RU,2022-07-11 14:56:50
82,Axim,4.8699,-2.2405,78.66,74,100,11.41,GH,2022-07-11 14:56:51
83,San Pedro,14.35,121.0167,81.63,92,40,2.3,PH,2022-07-11 14:56:51
84,Georgetown,5.4112,100.3354,81.9,90,40,3.44,MY,2022-07-11 14:56:46
85,Nampula,-15.1165,39.2666,76.95,50,75,10.36,MZ,2022-07-11 14:56:52
86,Te Anau,-45.4167,167.7167,32.25,85,100,0.89,NZ,2022-07-11 14:56:52
87,Cabo San Lucas,22.8909,-109.9124,86.61,57,67,7.49,MX,2022-07-11 14:52:47
88,Grosseto,42.8333,11.25,89.91,31,0,11.92,IT,2022-07-11 14:56:53
